date,player,market,line,predicted_side,predicted_prob,predicted_ev,actual_value,hit,grade,feat_ema,feat_std,feat_sma_5,feat_sma_10,feat_trend,feat_avg_minutes,feat_mins_trend,feat_hit_rate_l5,feat_hit_rate_l10,feat_hit_rate_l15,feat_hit_rate_season,feat_hit_rate_weighted,feat_coef_variation,feat_pace_mult,feat_def_mult,feat_position_mult,feat_base_matchup_mult,feat_combined_matchup_mult,feat_split_factor,feat_rest_factor,feat_blowout_factor,feat_usage_mult,feat_games_played,feat_is_home,feat_is_b2b,feat_spread,feat_days_rest,feat_game_total,feat_opponent_drtg_season,feat_opponent_drtg_l5,feat_data_quality_score,player_id
2025-10-26,Scottie Barnes,PTS,17.933333333333334,OVER,0.5036,-0.038123999999999936,33,1,D,18.51834283919925,7.932452932341265,23.4,17.3,0.015503875968992498,29.4,1.1904761904761905,0.6,0.4,0.4,0.582089552238806,0.4345849841532206,0.4283565220290668,1.0145977433536109,0.9845055710306407,0.974,0.9965424399598288,0.9875254639758972,1.024653853601859,1.0,1.0,1.0,67,0,0,-0.6,1,232.18499999999995,113.1,113.1,100,1630567
2025-10-27,Scottie Barnes,PTS,19.066666666666666,OVER,0.5055,-0.034495000000000164,8,0,D,20.328549984299343,8.803137968658566,26.6,19.1,0.2704918032786887,29.8,1.1409395973154361,0.8,0.4,0.4,0.4852941176470588,0.4659209364713412,0.4330430835183831,1.0000099236868483,0.9749303621169918,0.987,0.9849621867449343,0.9857773120469606,1.0291586560468735,0.95,1.0,1.0,68,0,1,3.56,0,230.4945,112.0,112.0,100,1630567
2025-10-29,Scottie Barnes,PTS,18.533333333333335,UNDER,0.5328,0.017648000000000053,31,0,C,20.541620814863336,9.233995162802863,23.0,18.1,0.37391304347826115,29.733333333333334,1.1210762331838566,0.6,0.4,0.4,0.5072463768115942,0.4215826971656248,0.4495261228910138,0.9642846510335521,0.982764623955432,0.955,0.97537263478668,0.967223580872008,0.9765765765765766,1.0,1.0,1.0,69,1,0,1.7600000000000002,1,226.35449999999997,112.9,112.9,100,1630567
2025-10-31,Scottie Barnes,PTS,18.666666666666668,OVER,0.6108,0.166628,14,0,A,20.90438151683543,9.408709237924697,22.2,20.3,0.8901098901098903,29.666666666666668,1.0898876404494382,0.6,0.5,0.4,0.5142857142857142,0.4766263811560202,0.45008311919428734,1.0140023221427226,0.9975626740947077,1.029,1.0041385333139137,1.014083119988348,1.019615036036425,1.0,1.0,1.0,70,0,0,1.6800000000000002,1,232.11599999999999,114.6,114.6,100,1630567
2025-11-02,Scottie Barnes,PTS,18.133333333333333,OVER,0.6095,0.16414499999999999,19,1,A,18.82692950358387,9.432971556246335,20.6,20.8,0.8604651162790697,30.0,1.0888888888888888,0.4,0.5,0.3333333333333333,0.5070422535211268,0.4039370807076568,0.501036111833886,1.0086435312447282,0.9897284122562676,1.001,0.9972944598516518,0.9987766759109911,0.9833877995642701,1.0,1.0,1.0,71,1,0,-1.8800000000000001,1,231.495,113.7,113.7,100,1630567
2025-11-04,Scottie Barnes,PTS,18.533333333333335,OVER,0.6393,0.2210629999999999,23,1,A,19.118430943113026,9.326357937638486,21.0,22.2,0.4545454545454548,30.266666666666666,1.1013215859030838,0.6,0.6,0.4,0.5138888888888888,0.4879922705059193,0.48782025917237165,0.9885976838114898,1.0106197771587744,0.999,1.0018109398198605,1.0006865638919162,0.9836985983117789,1.0,1.0,1.0,72,1,0,-3.04,1,229.172,116.1,116.1,100,1630567
2025-11-07,Scottie Barnes,PTS,19.066666666666666,OVER,0.7007,0.3383369999999999,14,0,A,20.008428516439608,9.33860395399247,19.0,22.8,0.2184873949579833,30.266666666666666,1.0462555066079295,0.4,0.6,0.4,0.4794520547945205,0.4532105956333215,0.46673350414899173,1.0223382190951582,1.0053969359331478,1.026,1.012173449197952,1.0177040695187711,1.0159166414980367,1.02,1.0,1.0,73,0,0,0.36,2,233.082,115.5,115.5,100,1630567
2025-11-08,Scottie Barnes,PTS,18.8,OVER,0.5676,0.08411599999999997,18,0,A,18.042970628237526,9.427922055559979,20.2,21.6,0.154471544715447,30.8,1.0281385281385282,0.6,0.6,0.4666666666666667,0.5135135135135135,0.5103722349097256,0.5225260435111021,0.9950480802627792,0.9853760445682453,0.989,0.9892448588460588,0.9891469153076353,1.0135302783593083,0.95,1.0,1.0,74,0,1,1.16,0,229.9195,113.2,113.2,100,1630567
2025-11-11,Scottie Barnes,PTS,19.4,OVER,0.5507,0.05183699999999991,15,0,A,18.037599299707836,9.03801495272686,17.6,19.9,-0.03053435114503822,31.066666666666666,1.01931330472103,0.2,0.4,0.4,0.4666666666666667,0.37105745226579,0.50106529159195,0.9727197848544692,1.00974930362117,1.013,0.9949374961144897,1.0021624976686938,1.0126939482556299,1.02,1.0,1.0,75,0,0,-0.8800000000000001,2,227.332,116.0,116.0,100,1630567
2025-11-13,Scottie Barnes,PTS,19.8,OVER,0.5115,-0.02303500000000014,28,1,D,17.118164132290076,8.670145821808799,17.8,19.2,-0.13548387096774195,31.533333333333335,1.0359408033826638,0.2,0.3,0.4,0.4605263157894737,0.3357466670511787,0.5064880646549159,1.0140023221427226,0.9975626740947077,1.029,1.0041385333139137,1.014083119988348,1.010914051841746,1.0,1.0,1.0,76,0,0,1.6800000000000002,1,232.11599999999999,114.6,114.6,100,1630567
