date,player,market,line,predicted_side,predicted_prob,predicted_ev,actual_value,hit,grade,feat_ema,feat_std,feat_sma_5,feat_sma_10,feat_trend,feat_avg_minutes,feat_mins_trend,feat_hit_rate_l5,feat_hit_rate_l10,feat_hit_rate_l15,feat_hit_rate_season,feat_hit_rate_weighted,feat_coef_variation,feat_pace_mult,feat_def_mult,feat_position_mult,feat_base_matchup_mult,feat_combined_matchup_mult,feat_split_factor,feat_rest_factor,feat_personal_fatigue_factor,feat_blowout_factor,feat_usage_mult,feat_games_played,feat_is_home,feat_is_b2b,feat_spread,feat_days_rest,feat_game_total,feat_opponent_drtg_season,feat_opponent_drtg_l5,feat_data_quality_score,player_id
2025-02-09,Scottie Barnes,PTS,19.466666666666665,OVER,0.5438,0.03865799999999986,15,0,B,19.837803396003437,4.80872223400453,18.0,20.1,0.015037593984962294,34.86666666666667,0.9369024856596557,0.6,0.7,0.6,0.5384615384615384,0.6293907914099628,0.2424019503577349,0.9646330973334214,0.9819383643058011,0.959,0.9750162575168493,0.9686097545101096,1.0288029525032092,1.0,1.0,1.0,1.0,39,0,0,4.12,1,226.28549999999996,112.9,112.9,100,1630567
2025-02-11,Scottie Barnes,PTS,18.866666666666667,UNDER,0.5001,-0.04480900000000004,33,0,D,18.153607461594447,4.763951940903486,17.0,19.9,-0.03007518796992492,34.86666666666667,0.9942638623326959,0.4,0.7,0.5333333333333333,0.575,0.5421640352496202,0.26242453192744447,0.9952028055316613,0.9888962977995533,0.989,0.9914189008923966,0.990451340535438,1.0230404504371018,1.0,1.0,1.0,1.0,40,0,0,0.72,1,229.8275,113.7,113.7,100,1630567
2025-02-12,Scottie Barnes,PTS,20.0,OVER,0.6238,0.19145800000000002,16,0,A,20.95394322506513,5.916079783099616,20.6,20.7,0.0,34.8,1.0440613026819925,0.6,0.6,0.5333333333333333,0.4634146341463415,0.5458385727148779,0.2823373013640122,1.014159994706544,0.9923752645464294,1.023,1.0010891566104752,1.009853493966285,0.9752904684296304,1.1,1.1,1.0,1.0,41,1,1,-0.9199999999999999,0,232.02399999999997,114.1,114.1,100,1630567
2025-02-21,Scottie Barnes,PTS,19.533333333333335,UNDER,0.6409,0.22411899999999996,13,1,A,19.66003125323914,5.938574464184707,19.2,19.9,-0.03597122302158273,34.333333333333336,1.0485436893203883,0.4,0.6,0.5333333333333333,0.5238095238095238,0.5273920212685196,0.3020633277582548,1.0380797988486732,0.9758501724987677,0.994,1.0007420230387298,0.9980452138232379,0.9743475682087781,0.908,0.908,1.0,1.0,42,1,0,-0.56,8,234.7955,112.2,112.2,100,1630567
2025-02-23,Scottie Barnes,PTS,19.2,UNDER,0.5956,0.13759599999999994,20,0,A,17.748056836675687,6.166731016395269,19.6,19.1,-0.06382978723404253,34.46666666666667,1.0444874274661509,0.4,0.5,0.5333333333333333,0.5116279069767442,0.4772040348173731,0.3474595034906555,0.9907364520611392,0.9845475893659581,0.967,0.9870231344440306,0.9790138806664184,0.972196261682243,1.0,1.0,1.0,1.0,43,1,0,-1.04,1,229.30999999999995,113.2,113.2,100,1630567
2025-02-25,Scottie Barnes,PTS,19.866666666666667,UNDER,0.6491,0.23978100000000002,21,0,A,18.974086428261216,5.617150607948923,19.4,18.7,-0.1164383561643837,34.46666666666667,1.0251450676982592,0.4,0.5,0.6,0.5227272727272727,0.5542869520899141,0.29604327086770194,0.9585787070733804,0.9932450062331486,0.972,0.9793784865692414,0.9764270919415449,0.9733052335792062,1.0,1.0,1.0,1.0,44,1,0,0.9199999999999999,1,225.58399999999997,114.2,114.2,100,1630567
2025-02-28,Scottie Barnes,PTS,20.133333333333333,OVER,0.5174,-0.01176600000000011,24,1,D,20.306796134637125,5.566053573309583,20.6,18.8,-0.08552631578947367,34.46666666666667,1.034816247582205,0.4,0.4,0.5333333333333333,0.4444444444444444,0.46813315417859486,0.27409806728771036,1.0286508304109043,1.022816223581596,1.038,1.0251500663133193,1.0302900397879915,1.0379041248606464,1.0,1.0,1.0,1.0,45,0,0,-1.1199999999999999,2,233.70299999999997,117.6,117.6,100,1630567
2025-03-02,Scottie Barnes,PTS,20.066666666666666,OVER,0.5253,0.003322999999999965,10,0,C,20.633512804068914,5.509299497429864,18.8,19.7,0.02898550724637672,34.266666666666666,1.0214007782101167,0.4,0.5,0.5333333333333333,0.45652173913043476,0.51874697648803,0.26700734624030836,1.0012571957917022,0.9871568144261152,0.974,0.99279696697235,0.9852781801834101,1.0388879364535115,1.0,1.0,1.0,1.0,46,0,0,1.2399999999999998,1,230.52899999999997,113.5,113.5,100,1630567
2025-03-04,Scottie Barnes,PTS,19.133333333333333,UNDER,0.5137,-0.018832999999999933,17,1,D,18.89952226234459,5.962581735488492,17.6,18.4,0.014814814814814836,34.06666666666667,0.9686888454011741,0.6,0.5,0.6,0.5319148936170213,0.5696905648972725,0.31548848974708427,1.0012571957917022,0.9871568144261152,0.974,0.99279696697235,0.9852781801834101,1.0300751879699248,1.0,1.0,1.0,1.0,47,0,0,1.2399999999999998,1,230.52899999999997,113.5,113.5,100,1630567
2025-03-07,Scottie Barnes,PTS,18.866666666666667,OVER,0.5197,-0.007372999999999963,22,1,D,19.066883420767226,5.962581735488492,18.4,19.0,-0.06201550387596899,33.6,0.9424603174603174,0.6,0.5,0.5333333333333333,0.5625,0.4881450364357157,0.31271926323282495,1.0226956924502084,1.0549966659902006,1.093,1.0420762765742038,1.0624457659445223,0.9791373652133146,1.0,1.0,1.0,1.0,48,1,0,-4.24,2,233.01299999999998,121.3,121.3,100,1630567
2025-03-08,Scottie Barnes,PTS,18.733333333333334,OVER,0.5876,0.12231599999999998,18,0,A,18.893787738217043,5.861090423494672,18.8,19.1,-0.07971014492753625,33.8,0.8974358974358975,0.6,0.5,0.5333333333333333,0.5714285714285714,0.5368544763596028,0.3102125685279752,1.01267121021637,1.060215116110515,1.064,1.041197553752857,1.0503185322517143,0.9807989690721649,1.1,1.1,0.9738876268764288,1.0,49,1,1,-6.480000000000001,0,231.8515,121.9,121.9,100,1630567
2025-03-10,Scottie Barnes,PTS,18.6,UNDER,0.5096,-0.026663999999999966,14,1,D,18.107395202247062,5.852960179015645,18.2,19.4,-0.01492537313432829,33.4,0.8882235528942116,0.4,0.5,0.4666666666666667,0.56,0.45843371486489054,0.3232358996775701,1.01267121021637,1.060215116110515,1.064,1.041197553752857,1.0503185322517143,0.9807692307692307,1.0,1.0,0.9742487341516364,1.0,50,1,0,-6.480000000000001,1,231.8515,121.9,121.9,100,1630567
2025-03-14,Scottie Barnes,PTS,18.533333333333335,UNDER,0.572,0.09251999999999982,20,0,A,18.67344131187474,5.9023804721565725,16.2,17.5,-0.045454545454545525,32.86666666666667,0.8620689655172413,0.2,0.4,0.4666666666666667,0.5490196078431373,0.41480797889898086,0.3160842382278597,1.0226956924502084,1.0549966659902006,1.093,1.0420762765742038,1.0624457659445223,1.0295836897633306,0.908,0.908,1.0,1.0,51,0,0,-1.8399999999999999,3,233.01299999999998,121.3,121.3,100,1630567
2025-03-16,Scottie Barnes,PTS,18.333333333333332,UNDER,0.5138,-0.018641999999999992,16,1,D,17.220055383027557,5.789974915645967,18.2,17.9,-0.03100775193798444,32.333333333333336,0.7938144329896907,0.4,0.5,0.4666666666666667,0.5576923076923077,0.470496362571709,0.33623439570076447,1.0178323297823064,1.0115095816542485,1.012,1.0140386809054718,1.013223208543283,1.0284646859989326,1.0,1.0,1.0,1.0,52,0,0,-0.6399999999999999,1,232.44949999999997,116.3,116.3,100,1630567
2025-03-17,Scottie Barnes,PTS,18.666666666666668,UNDER,0.5025,-0.04022500000000012,16,1,D,18.416886597534813,5.472876844254852,18.0,18.2,-0.15827338129496404,32.06666666666667,0.8108108108108107,0.4,0.5,0.4666666666666667,0.5471698113207547,0.4257227139046959,0.29716623465485326,0.9907364520611392,0.9845475893659581,0.967,0.9870231344440306,0.9790138806664184,1.0250272262712574,1.1,1.1,1.0,1.0,53,0,1,1.3599999999999999,0,229.30999999999995,113.2,113.2,100,1630567
2025-03-20,Scottie Barnes,PTS,18.333333333333332,UNDER,0.6312,0.20559199999999989,29,0,A,17.30517289041154,5.472876844254853,16.8,17.8,-0.13380281690140838,31.866666666666667,0.8682008368200838,0.2,0.4,0.4,0.5370370370370371,0.35787753786340687,0.31625669843999465,0.9992721498048037,0.9688922390050154,0.958,0.9810442033249307,0.9718265219949583,1.0219402277039848,1.0,1.0,1.0,1.0,54,0,0,1.6,2,230.29899999999998,111.4,111.4,100,1630567
2025-03-23,Scottie Barnes,PTS,19.266666666666666,UNDER,0.5393,0.03006299999999995,22,0,B,21.19583492640436,6.029293569928483,19.0,18.6,-0.014598540145985495,31.6,0.9810126582278481,0.4,0.4,0.4666666666666667,0.509090909090909,0.44631587268281153,0.2844565260516155,1.001852709587772,0.9767199141854868,0.992,0.9867730323464009,0.9888638194078405,0.9782240689442905,1.0,1.0,1.0,1.0,55,1,0,0.5199999999999999,2,230.59799999999996,112.3,112.3,100,1630567
2025-03-24,Scottie Barnes,PTS,18.533333333333335,OVER,0.7738,0.477958,13,0,A,19.002480727048123,4.778921974472406,20.6,18.4,0.11570247933884303,31.133333333333333,1.0171306209850108,0.6,0.4,0.4666666666666667,0.5535714285714286,0.4990058838308216,0.2514893735779503,1.01267121021637,1.060215116110515,1.064,1.041197553752857,1.0503185322517143,1.0250316742081447,1.1,1.1,1.0,1.0,56,0,1,-4.08,0,231.8515,121.9,121.9,100,1630567
2025-03-26,Scottie Barnes,PTS,18.333333333333332,OVER,0.5155,-0.015395000000000103,15,0,D,17.847369194951398,4.952152009360125,19.2,18.7,0.02362204724409467,30.8,0.9956709956709957,0.4,0.4,0.4666666666666667,0.543859649122807,0.4515191955102326,0.27747238011756786,0.9716800105869119,1.0097700982808104,1.01,0.994534063203251,1.0007204379219505,1.0206240539424796,1.0,1.0,1.0,1.0,57,0,0,-0.8399999999999999,1,227.102,116.1,116.1,100,1630567
2025-03-28,Scottie Barnes,PTS,18.466666666666665,UNDER,0.5223,-0.002407000000000048,18,1,D,18.435984741752463,4.8235533237092625,19.0,18.5,-0.007575757575757569,30.133333333333333,0.9513274336283186,0.4,0.4,0.4666666666666667,0.5344827586206896,0.4085514630591525,0.2616379537777135,0.9892476675709653,1.0236859652683152,1.05,1.0099106461893752,1.025946387713625,0.9846681661589272,1.0,1.0,1.0,1.0,58,1,0,-2.84,1,229.1375,117.7,117.7,100,1630567
2025-03-30,Scottie Barnes,PTS,18.333333333333332,UNDER,0.5452,0.04133199999999998,9,1,B,18.516420462771976,4.805750523616274,19.4,18.1,0.023809523809523725,29.6,0.9346846846846847,0.4,0.3,0.4,0.5254237288135594,0.34234034758387766,0.25953993285464827,0.9952028055316613,0.9888962977995533,0.989,0.9914189008923966,0.990451340535438,1.018293271551308,1.0,1.0,1.0,1.0,59,0,0,0.72,1,229.8275,113.7,113.7,100,1630567
2025-04-01,Scottie Barnes,PTS,17.533333333333335,UNDER,0.5038,-0.037742,9,1,D,17.73166934614119,5.303188618539748,15.4,17.2,-0.024000000000000132,29.2,0.9474885844748859,0.4,0.4,0.4666666666666667,0.6,0.4383313585628339,0.29908005360441947,1.0286508304109043,1.022816223581596,1.038,1.0251500663133193,1.0302900397879915,1.0126231527093597,1.0,1.0,1.0,1.0,60,0,0,-1.1199999999999999,1,233.70299999999997,117.6,117.6,100,1630567
